"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2018-06-10","1","발전량","0","0","0","0","0","0","0.031","0.134","0.395","0.453","0.414","0.452","0.404","0.63","0.395","0.377","0.249","0.041","0.001","0","0","0","0","0"
"2018-06-11","1","발전량","0","0","0","0","0","0","0.009","0.019","0.149","0.125","0.271","0.411","0.327","0.154","0.125","0.21","0.122","0.11","0.1","0.001","0","0","0","0"
"2018-06-12","1","발전량","0","0","0","0","0","0","0.028","0.117","0.161","0.285","0.629","0.714","0.52","0.757","0.476","0.768","0.82","0.328","0.078","0.036","0","0","0","0"
"2018-06-13","1","발전량","0","0","0","0","0","0","0.051","0.1","0.197","0.455","0.61","0.54","0.718","0.903","1.233","0.724","0.43","0.352","0.092","0","0","0","0","0"
"2018-06-14","1","발전량","0","0","0","0","0","0","0.004","0.073","0.157","0.484","0.799","0.401","0.326","0.546","0.593","0.342","0.322","0.219","0.207","0.014","0","0","0","0"
"2018-06-15","1","발전량","0","0","0","0","0","0.002","0.129","0.302","0.336","0.707","0.859","0.829","1.139","1.004","1.306","1.089","0.733","0.458","0.148","0.012","0","0","0","0"
"2018-06-16","1","발전량","0","0","0","0","0","0.005","0.124","0.323","0.336","0.544","1.013","1.464","1.47","1.432","1.307","1.128","0.685","0.499","0.135","0.006","0","0","0","0"
"2018-06-17","1","발전량","0","0","0","0","0","0.005","0.146","0.464","0.678","0.696","0.758","0.64","1.022","1.106","0.844","0.541","0.612","0.263","0.116","0.021","0","0","0","0"
"2018-06-18","1","발전량","0","0","0","0","0","0","0.096","0.369","0.646","0.762","0.853","1.137","1.407","1.414","1.105","1.102","0.847","0.499","0.148","0.012","0","0","0","0"
"2018-06-19","1","발전량","0","0","0","0","0","0.004","0.092","0.382","0.47","0.462","0.317","0.502","0.359","0.34","0","0","0","0","0","0","0","0","0","0"
"2018-06-20","1","발전량","0","0","0","0","0","0","0","0","0","0","0.778","1.374","1.405","1.426","1.201","1.158","0.837","0.504","0.186","0.049","0","0","0","0"
"2018-06-21","1","발전량","0","0","0","0","0","0.003","0.106","0.437","0.82","1.115","1.321","1.462","1.474","1.283","1.211","1.03","0.766","0.478","0.152","0.016","0","0","0","0"
"2018-06-22","1","발전량","0","0","0","0","0","0.004","0.109","0.442","0.798","1.072","1.264","1.373","1.406","1.32","1.128","0.852","0.529","0.312","0.105","0.012","0","0","0","0"
"2018-06-23","1","발전량","0","0","0","0","0","0","0.014","0.109","0.122","0.501","0.581","0.745","0.676","1.266","1.056","1.121","0.801","0.467","0.146","0.012","0","0","0","0"
"2018-06-24","1","발전량","0","0","0","0","0","0.004","0.107","0.402","0.747","1.05","1.26","1.385","1.447","1.411","1.281","1.074","0.77","0.434","0.145","0.014","0","0","0","0"
"2018-06-25","1","발전량","0","0","0","0","0","0","0.081","0.371","0.431","0.845","1.138","1.033","0.685","0.598","1.119","0.856","0.687","0.39","0.162","0.019","0","0","0","0"
"2018-06-26","1","발전량","0","0","0","0","0","0","0.014","0.053","0.105","0.133","0.024","0.024","0.02","0.017","0.018","0.034","0.001","0","0","0","0","0","0","0"
"2018-06-27","1","발전량","0","0","0","0","0","0","0","0.099","0.31","0.437","0.507","0.852","1.385","1.146","1.04","1.036","0.791","0.439","0.108","0.027","0","0","0","0"
"2018-06-28","1","발전량","0","0","0","0","0","0","0.003","0.131","0.166","0.033","0.39","0.336","0.464","0.086","0.184","0.375","0.221","0.121","0","0","0","0","0","0"
"2018-06-29","1","발전량","0","0","0","0","0","0","0.105","0.141","0.353","0.883","1.023","0.893","0.942","1.084","0.915","0.95","0.76","0.336","0.185","0.059","0","0","0","0"
"2018-06-30","1","발전량","0","0","0","0","0","0","0","0.011","0.146","0.216","0.39","0.381","0.27","0.141","0.203","0.179","0.105","0.019","0.012","0","0","0","0","0"
"2018-07-01","1","발전량","0","0","0","0","0","0","0.021","0.001","0.023","0.007","0.05","0.094","0.062","0.107","0.08","0.127","0.169","0.059","0.007","0.008","0","0","0","0"
"2018-07-02","1","발전량","0","0","0","0","0","0","0","0","0.012","0.042","0.355","0.291","0.237","0.1","0.041","0.038","0.094","0.049","0.063","0","0","0","0","0"
"2018-07-03","1","발전량","0","0","0","0","0","0","0.021","0.129","0.341","0.567","0.463","0.45","0.247","0.253","0.301","0","0","0","0","0","0","0","0","0"
"2018-07-04","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-07-05","1","발전량","0","0","0","0","0","0","0","0","0","0","0.004","0.175","0.182","0.284","0.395","0.456","0.287","0.093","0.011","0.001","0","0","0","0"
"2018-07-06","1","발전량","0","0","0","0","0","0","0.04","0.113","0.275","0.349","0.438","0.339","0.445","0.427","0.278","0.385","0.425","0.279","0.093","0.01","0","0","0","0"
"2018-07-07","1","발전량","0","0","0","0","0","0.001","0.06","0.293","0.544","0.759","0.617","0.696","0.917","0.819","0.873","0.827","0.596","0.294","0.117","0.005","0","0","0","0"
"2018-07-08","1","발전량","0","0","0","0","0","0","0.055","0.168","0.329","0.519","0.697","0.555","0.559","0.569","0.518","0.425","0.365","0.166","0.053","0.001","0","0","0","0"
"2018-07-09","1","발전량","0","0","0","0","0","0","0.016","0.032","0.034","0.118","0.116","0.093","0.099","0.077","0.072","0.052","0.09","0.042","0.015","0","0","0","0","0"
"2018-07-10","1","발전량","0","0","0","0","0","0","0.007","0.062","0.147","0.226","0.345","0.336","0.415","0.465","0.384","0.393","0.312","0.183","0.021","0","0","0","0","0"
"2018-07-11","1","발전량","0","0","0","0","0","0","0.026","0.108","0.333","0.262","0.444","0.541","0.601","0.737","0.854","0.718","0.296","0.142","0.063","0.007","0","0","0","0"
"2018-07-12","1","발전량","0","0","0","0","0","0","0.066","0.279","0.407","0.472","0.815","0.72","0.656","0.542","0.482","0.362","0.307","0.194","0.08","0.01","0","0","0","0"
"2018-07-13","1","발전량","0","0","0","0","0","0","0.027","0.13","0.248","0.4","0.743","0.882","0.642","0.614","0.764","0.527","0.482","0.188","0.065","0.002","0","0","0","0"
"2018-07-14","1","발전량","0","0","0","0","0","0","0.047","0.239","0.453","0.63","0.746","0.816","0.845","0.829","0.771","0.654","0.514","0.299","0.07","0.001","0","0","0","0"
"2018-07-15","1","발전량","0","0","0","0","0","0","0.036","0.229","0.45","0.624","0.753","0.83","0.846","0.875","0.785","0.669","0.513","0.288","0.071","0.001","0","0","0","0"
"2018-07-16","1","발전량","0","0","0","0","0","0","0.04","0.225","0.443","0.612","0.748","0.738","0.423","0.661","0.613","0.467","0.395","0.273","0.077","0.004","0","0","0","0"
"2018-07-17","1","발전량","0","0","0","0","0","0","0.045","0.215","0.426","0.611","0.624","0.778","0.822","0.629","0.452","0.351","0.486","0.266","0.072","0.004","0","0","0","0"
"2018-07-18","1","발전량","0","0","0","0","0","0","0.041","0.22","0.423","0.595","0.747","0.706","0.456","0.605","0.41","0.469","0.422","0.249","0.077","0.004","0","0","0","0"
"2018-07-19","1","발전량","0","0","0","0","0","0","0.044","0.215","0.433","0.6","0.6","0.595","0.511","0.648","0.571","0.649","0.501","0.294","0.076","0.004","0","0","0","0"
"2018-07-20","1","발전량","0","0","0","0","0","0","0.044","0.21","0.422","0.598","0.73","0.773","0.748","0.695","0.628","0.521","0.276","0.209","0.085","0.005","0","0","0","0"
"2018-07-21","1","발전량","0","0","0","0","0","0","0.043","0.203","0.409","0.583","0.71","0.686","0.617","0.707","0.71","0.608","0.437","0.245","0.069","0.003","0","0","0","0"
"2018-07-22","1","발전량","0","0","0","0","0","0","0.038","0.204","0.417","0.574","0.674","0.658","0.79","0.644","0.653","0.58","0.467","0.27","0.077","0.008","0","0","0","0"
"2018-07-23","1","발전량","0","0","0","0","0","0","0.052","0.21","0.413","0.569","0.678","0.473","0.661","0.516","0.458","0.403","0.347","0.249","0.113","0.01","0","0","0","0"
"2018-07-24","1","발전량","0","0","0","0","0","0","0.036","0.203","0.414","0.592","0.706","0.53","0.583","0.802","0.747","0.642","0.491","0.288","0.062","0.001","0","0","0","0"
"2018-07-25","1","발전량","0","0","0","0","0","0","0.037","0.197","0.333","0.359","0.651","0.62","0.414","0.583","0.738","0.483","0.467","0.157","0.047","0.003","0","0","0","0"
"2018-07-26","1","발전량","0","0","0","0","0","0","0.032","0.197","0.408","0.585","0.699","0.804","0.786","0.762","0.93","0.847","0.416","0.376","0.105","0.004","0","0","0","0"
"2018-07-27","1","발전량","0","0","0","0","0","0","0.051","0.276","0.582","0.823","0.771","0.676","0.826","0.731","0.765","0.63","0.518","0.379","0.111","0.012","0","0","0","0"
"2018-07-28","1","발전량","0","0","0","0","0","0","0.02","0.186","0.325","0.453","0.416","0.516","0.622","0.756","0.847","0.506","0.305","0.262","0.04","0","0","0","0","0"
"2018-07-29","1","발전량","0","0","0","0","0","0","0.029","0.286","0.401","0.864","0.869","1.14","0.918","1.117","0.927","0.988","0.467","0.442","0.051","0.001","0","0","0","0"
"2018-07-30","1","발전량","0","0","0","0","0","0","0.046","0.121","0.292","0.501","0.948","0.83","1.104","0.982","1.13","0.825","0.708","0.24","0.16","0.002","0","0","0","0"
"2018-07-31","1","발전량","0","0","0","0","0","0","0.032","0.281","0.604","0.865","1.047","1.153","1.194","1.154","1.05","0.898","0.737","0.357","0.091","0.001","0","0","0","0"
"2018-08-01","1","발전량","0","0","0","0","0","0","0.036","0.285","0.604","0.859","1.034","1.139","1.182","1.153","1.056","0.906","0.694","0.395","0.089","0.001","0","0","0","0"
"2018-08-02","1","발전량","0","0","0","0","0","0","0.032","0.28","0.601","0.858","1.032","1.134","1.167","1.136","1.044","0.889","0.674","0.381","0.093","0.003","0","0","0","0"
"2018-08-03","1","발전량","0","0","0","0","0","0","0.011","0","0","0.209","1.004","1.111","1.152","1.132","1.05","0.899","0.668","0.382","0.089","0.002","0","0","0","0"
"2018-08-04","1","발전량","0","0","0","0","0","0","0.041","0.257","0.569","0.832","0.879","1.094","0.786","1.005","0.827","0.667","0.247","0.338","0.083","0.002","0","0","0","0"
"2018-08-05","1","발전량","0","0","0","0","0","0","0.038","0.293","0.493","0.515","0.857","0.692","0.839","0.734","0.464","0.529","0.246","0.152","0.069","0","0","0","0","0"
"2018-08-06","1","발전량","0","0","0","0","0","0","0.002","0.107","0.356","0.52","0.465","0.402","0.585","0.64","0.734","0.251","0.121","0.342","0.105","0.001","0","0","0","0"
"2018-08-07","1","발전량","0","0","0","0","0","0","0.039","0.161","0.392","0.53","0.538","0.619","0.55","0.905","0.901","0.925","0.747","0.42","0.093","0.009","0","0","0","0"
"2018-08-08","1","발전량","0","0","0","0","0","0","0.052","0.289","0.597","0.913","0.927","0.791","0.766","1.083","1.141","0.691","0.482","0.392","0.08","0.003","0","0","0","0"
"2018-08-09","1","발전량","0","0","0","0","0","0","0.041","0.222","0.504","0.737","0.59","0.334","0.404","0.629","0.588","0.626","0.689","0.252","0.077","0","0","0","0","0"
"2018-08-10","1","발전량","0","0","0","0","0","0","0.003","0.033","0.141","0.351","0.199","0.209","0.956","0.789","0.886","0.814","0.433","0.201","0.006","0","0","0","0","0"
"2018-08-11","1","발전량","0","0","0","0","0","0","0.054","0.209","0.318","0.326","0.284","0.664","0.568","0.329","0.605","0.498","0.584","0.417","0.093","0.003","0","0","0","0"
"2018-08-12","1","발전량","0","0","0","0","0","0","0","0.052","0.119","0.211","0.459","0.52","0.71","0.719","0.896","0.581","0.551","0.288","0.064","0.001","0","0","0","0"
"2018-08-13","1","발전량","0","0","0","0","0","0","0.026","0.226","0.576","0.744","0.511","1.057","1.271","1.224","1.173","1.007","0.651","0.364","0.084","0","0","0","0","0"
"2018-08-14","1","발전량","0","0","0","0","0","0","0.028","0.269","0.603","0.836","1.171","1.188","1.075","1.077","1.189","1.007","0.74","0.398","0.068","0.001","0","0","0","0"
"2018-08-15","1","발전량","0","0","0","0","0","0","0.021","0.277","0.562","0.942","1.158","1.266","1.314","1.315","1.177","0.881","0.708","0.418","0.069","0.003","0","0","0","0"
"2018-08-16","1","발전량","0","0","0","0","0","0","0.027","0.365","0.531","0.593","0.531","0.64","0.441","0.814","0.489","0.897","0.792","0.332","0.046","0","0","0","0","0"
"2018-08-17","1","발전량","0","0","0","0","0","0","0.028","0.306","0.596","0.626","1.05","0.98","0.888","0.883","1.034","0.748","0.49","0.33","0.098","0.001","0","0","0","0"
"2018-08-18","1","발전량","0","0","0","0","0","0","0.035","0.252","0.63","1.048","1.113","0.884","1.187","1.251","1.205","1.007","0.666","0.277","0.114","0.001","0","0","0","0"
"2018-08-19","1","발전량","0","0","0","0","0","0","0.033","0.316","0.695","0.876","1.173","0.963","1.095","1.258","1.13","1.027","0.508","0.312","0.074","0","0","0","0","0"
"2018-08-20","1","발전량","0","0","0","0","0","0","0.032","0.281","0.636","0.84","1.098","1.082","1.226","1.073","1.218","0.879","0.603","0.411","0.085","0","0","0","0","0"
"2018-08-21","1","발전량","0","0","0","0","0","0","0.074","0.293","0.503","0.702","1.124","1.039","1.089","1.118","0.818","0.816","0.427","0.241","0.074","0.002","0","0","0","0"
"2018-08-22","1","발전량","0","0","0","0","0","0","0.026","0.122","0.422","0.547","0.905","1.02","1.178","1.061","1.124","0.343","0.5","0.184","0.04","0","0","0","0","0"
"2018-08-23","1","발전량","0","0","0","0","0","0","0","0.034","0.114","0.321","0.524","0.461","0.491","0.529","0.587","0.402","0.118","0.008","0","0","0","0","0","0"
"2018-08-24","1","발전량","0","0","0","0","0","0","0","0","0.023","0.029","0.065","0.069","0.112","0.174","0.037","0.042","0.078","0.056","0.01","0","0","0","0","0"
"2018-08-25","1","발전량","0","0","0","0","0","0","0.032","0.283","0.537","0.882","0.686","0.668","0.899","0.622","0.53","0.413","0.327","0.124","0.029","0","0","0","0","0"
"2018-08-26","1","발전량","0","0","0","0","0","0","0.004","0.081","0.267","0.341","0.177","0.29","0.133","0.235","0.099","0.236","0.095","0.003","0","0","0","0","0","0"
"2018-08-27","1","발전량","0","0","0","0","0","0","0","0","0.003","0.027","0.071","0.219","0.311","0.236","0.165","0.081","0.057","0.04","0.012","0","0","0","0","0"
"2018-08-28","1","발전량","0","0","0","0","0","0","0","0","0","0.054","0.093","0.101","0.084","0.083","0.358","0.212","0.162","0.169","0.041","0","0","0","0","0"
"2018-08-29","1","발전량","0","0","0","0","0","0","0.001","0.048","0.246","0.538","0.726","0.756","0.982","0.747","0.712","0.528","0.518","0.091","0.032","0","0","0","0","0"
"2018-08-30","1","발전량","0","0","0","0","0","0","0.006","0.085","0.18","0.229","0.419","0.325","0.575","1.073","0.427","0.03","0.035","0.091","0.004","0","0","0","0","0"
"2018-08-31","1","발전량","0","0","0","0","0","0","0","0.006","0.086","0.071","0.093","0.139","0.398","0.325","0","0.069","0.03","0.25","0.041","0","0","0","0","0"
"2018-09-01","1","발전량","0","0","0","0","0","0","0.018","0.232","0.685","0.519","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-09-02","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0.096","0.226","0.143","0.12","0.038","0","0","0","0","0","0"
"2018-09-03","1","발전량","0","0","0","0","0","0","0","0","0.027","0.06","0.079","0.139","0.098","0.079","0.091","0.034","0.021","0.002","0","0","0","0","0","0"
"2018-09-04","1","발전량","0","0","0","0","0","0","0","0.053","0.408","0.834","0.647","0.981","1.203","1.116","0.935","0.935","0.571","0.174","0.008","0","0","0","0","0"
"2018-09-05","1","발전량","0","0","0","0","0","0","0.014","0.241","0.578","0.562","0.829","1.124","0.8","0.983","0.797","0.792","0.627","0.275","0.02","0","0","0","0","0"
"2018-09-06","1","발전량","0","0","0","0","0","0","0.024","0.18","0.609","0.578","0.472","0.573","0.496","0.435","0.476","0.333","0.258","0.08","0.004","0","0","0","0","0"
"2018-09-07","1","발전량","0","0","0","0","0","0","0.009","0.063","0.169","0.592","0.689","0.445","0.599","0.422","0.536","0.415","0.326","0.18","0.012","0","0","0","0","0"
"2018-09-08","1","발전량","0","0","0","0","0","0","0.007","0.159","0.556","0.847","1.088","1.266","0.752","1.102","1.025","1.01","0.703","0.293","0.023","0","0","0","0","0"
"2018-09-09","1","발전량","0","0","0","0","0","0","0.013","0.28","0.694","1.022","1.239","1.361","1.409","1.368","1.243","0.676","0.765","0.18","0.006","0","0","0","0","0"
"2018-09-10","1","발전량","0","0","0","0","0","0","0.013","0.259","0.581","0.914","1.055","1.332","1.21","0.897","0.99","1.091","0.71","0.285","0.014","0","0","0","0","0"
"2018-09-11","1","발전량","0","0","0","0","0","0","0.009","0.286","0.609","0.945","0.913","0.958","1.185","0.926","0.794","0.514","0.291","0.163","0.014","0","0","0","0","0"
"2018-09-12","1","발전량","0","0","0","0","0","0","0.027","0.204","0.65","1.049","1.051","0.521","0.622","0.75","1.024","0.959","0.638","0.148","0.014","0","0","0","0","0"
"2018-09-13","1","발전량","0","0","0","0","0","0","0","0.044","0.113","0.091","0.125","0.144","0.308","0.237","0.17","0.275","0.281","0.139","0.004","0","0","0","0","0"
"2018-09-14","1","발전량","0","0","0","0","0","0","0","0.021","0.089","0.155","0.303","0.316","0.381","0.814","0.462","0.284","0.141","0.058","0","0","0","0","0","0"
"2018-09-15","1","발전량","0","0","0","0","0","0","0","0.078","0.276","0.207","0.405","0.235","0.309","0.17","0.169","0.073","0.067","0.008","0","0","0","0","0","0"
"2018-09-16","1","발전량","0","0","0","0","0","0","0.002","0.169","0.418","0.396","0.688","0.58","0.371","0.236","0.167","0.175","0.107","0.021","0","0","0","0","0","0"
"2018-09-17","1","발전량","0","0","0","0","0","0","0","0.052","0.31","0.949","1.133","0.958","1.2","1.394","1.183","0.528","0.61","0.231","0.007","0","0","0","0","0"
"2018-09-18","1","발전량","0","0","0","0","0","0","0.008","0.255","0.656","0.985","1.164","0.897","0.957","1.242","0.681","0.875","0.512","0.149","0.014","0","0","0","0","0"
"2018-09-19","1","발전량","0","0","0","0","0","0","0.006","0.188","0.352","0.392","0.469","0.528","0.547","0.485","0.576","0.375","0.197","0.062","0.001","0","0","0","0","0"
"2018-09-20","1","발전량","0","0","0","0","0","0","0","0.012","0.045","0.088","0.143","0.172","0.438","0.371","0.306","0.175","0.113","0.035","0","0","0","0","0","0"
"2018-09-21","1","발전량","0","0","0","0","0","0","0","0.005","0.048","0.094","0.218","0.255","0.273","0.411","0.403","0.344","0.149","0.082","0","0","0","0","0","0"
"2018-09-22","1","발전량","0","0","0","0","0","0","0.007","0.213","0.615","0.609","0.967","0.984","1.201","0.956","0.993","0.925","0.592","0.194","0.004","0","0","0","0","0"
"2018-09-23","1","발전량","0","0","0","0","0","0","0.013","0.161","0.444","0.779","0.912","0.729","0.522","0.96","1.047","0.782","0.378","0.025","0.002","0","0","0","0","0"
"2018-09-24","1","발전량","0","0","0","0","0","0","0.004","0.123","0.274","0.626","0.877","0.987","1.064","0.955","0.704","0.51","0.52","0.244","0.012","0","0","0","0","0"
"2018-09-25","1","발전량","0","0","0","0","0","0","0.006","0.237","0.675","1.025","1.26","1.378","1.415","1.221","0.971","0.961","0.555","0.165","0.001","0","0","0","0","0"
"2018-09-26","1","발전량","0","0","0","0","0","0","0","0.014","0.13","0.582","0.717","0.971","0.913","0.915","0.953","0.73","0.574","0.167","0.001","0","0","0","0","0"
"2018-09-27","1","발전량","0","0","0","0","0","0","0.005","0.228","0.65","1","1.264","1.357","1.384","1.276","1","0.627","0.182","0.123","0.001","0","0","0","0","0"
"2018-09-28","1","발전량","0","0","0","0","0","0","0.012","0.214","0.541","0.75","0.863","0.821","0.404","0.433","0.278","0.098","0.072","0.028","0","0","0","0","0","0"
"2018-09-29","1","발전량","0","0","0","0","0","0","0.005","0.082","0.445","0.999","1.265","1.159","1.073","1.14","0.746","0.117","0.34","0.136","0.012","0","0","0","0","0"
"2018-09-30","1","발전량","0","0","0","0","0","0","0","0.145","0.624","0.941","1.178","1.336","1.382","1.318","1.132","0.896","0.551","0.148","0","0","0","0","0","0"
"2018-10-01","1","발전량","0","0","0","0","0","0","0.001","0.123","0.527","0.792","1.266","1.295","0.461","0.868","0.945","0.287","0.201","0.021","0","0","0","0","0","0"
"2018-10-02","1","발전량","0","0","0","0","0","0","0.004","0.231","0.655","1","1.163","1.212","0.638","0.985","1.186","0.931","0.552","0.131","0","0","0","0","0","0"
"2018-10-03","1","발전량","0","0","0","0","0","0","0.004","0.226","0.649","0.984","1.207","1.324","1.32","1.299","1.146","0.89","0.517","0.122","0","0","0","0","0","0"
"2018-10-04","1","발전량","0","0","0","0","0","0","0.001","0.191","0.633","0.96","1.25","0.901","0.999","0.916","1.131","0.66","0.397","0.034","0","0","0","0","0","0"
"2018-10-05","1","발전량","0","0","0","0","0","0","0","0.01","0.061","0.091","0.17","0.15","0.172","0.181","0.18","0.085","0.02","0.002","0","0","0","0","0","0"
"2018-10-06","1","발전량","0","0","0","0","0","0","0","0.009","0.033","0.032","0.082","0.214","0.317","0.41","0.332","0.532","0.119","0.013","0","0","0","0","0","0"
"2018-10-07","1","발전량","0","0","0","0","0","0","0.002","0.21","0.559","0.891","0.649","0.902","1.274","1.206","1.07","0.827","0.47","0.096","0","0","0","0","0","0"
"2018-10-08","1","발전량","0","0","0","0","0","0","0.002","0.178","0.379","0.837","0.804","1.25","1.274","1.182","1.108","0.8","0.453","0.095","0","0","0","0","0","0"
"2018-10-09","1","발전량","0","0","0","0","0","0","0","0.035","0.161","0.409","0.562","0.72","1.173","0.846","0.665","0.269","0.096","0.028","0","0","0","0","0","0"
"2018-10-10","1","발전량","0","0","0","0","0","0","0","0.035","0.164","0.38","0.805","1.193","1.398","1.349","1.174","0.881","0.494","0.087","0","0","0","0","0","0"
"2018-10-11","1","발전량","0","0","0","0","0","0","0","0.183","0.622","0.989","1.229","1.385","1.42","1.193","1.144","0.892","0.487","0.075","0","0","0","0","0","0"
"2018-10-12","1","발전량","0","0","0","0","0","0","0","0.188","0.619","0.96","1.189","1.314","1.344","1.275","1.118","0.85","0.468","0.077","0","0","0","0","0","0"
"2018-10-13","1","발전량","0","0","0","0","0","0","0","0.196","0.567","0.901","1.164","1.287","1.216","1.106","1.086","0.871","0.272","0.07","0","0","0","0","0","0"
"2018-10-14","1","발전량","0","0","0","0","0","0","0","0.143","0.552","0.901","1.129","1.22","1.222","0.789","0.654","0.692","0.448","0.048","0","0","0","0","0","0"
"2018-10-15","1","발전량","0","0","0","0","0","0","0","0.123","0.424","0.827","1.05","1.205","1.252","1.167","0.903","0.736","0.354","0.052","0","0","0","0","0","0"
"2018-10-16","1","발전량","0","0","0","0","0","0","0","0.033","0.144","0.288","0.511","0.554","0.699","0.591","0.457","0.26","0.189","0.014","0","0","0","0","0","0"
"2018-10-17","1","발전량","0","0","0","0","0","0","0","0.079","0.307","0.721","0.504","0.881","1.16","1.052","0.416","0.345","0.42","0.06","0","0","0","0","0","0"
"2018-10-18","1","발전량","0","0","0","0","0","0","0","0.145","0.23","0.193","0.525","0.345","0.26","0.434","0.396","0.514","0.233","0.077","0","0","0","0","0","0"
"2018-10-19","1","발전량","0","0","0","0","0","0","0","0.158","0.585","0.926","1.155","0.59","0.31","0.691","0.621","0.406","0.175","0.046","0","0","0","0","0","0"
"2018-10-20","1","발전량","0","0","0","0","0","0","0","0.149","0.574","0.925","1.137","1.257","1.284","1.215","1.056","0.786","0.394","0.039","0","0","0","0","0","0"
"2018-10-21","1","발전량","0","0","0","0","0","0","0","0.149","0.565","0.896","1.11","1.261","1.278","1.204","1.058","0.788","0.396","0.042","0","0","0","0","0","0"
"2018-10-22","1","발전량","0","0","0","0","0","0","0","0.067","0.255","0.697","1.061","1.02","0.975","0.833","0.749","0.345","0.151","0.024","0","0","0","0","0","0"
"2018-10-23","1","발전량","0","0","0","0","0","0","0","0.091","0.514","0.614","1.105","0.55","0.719","0.962","0.299","0.438","0.299","0.016","0","0","0","0","0","0"
"2018-10-24","1","발전량","0","0","0","0","0","0","0","0.135","0.547","0.891","1.12","1.224","1.244","1.179","1.02","0.761","0.369","0.032","0","0","0","0","0","0"
"2018-10-25","1","발전량","0","0","0","0","0","0","0","0.123","0.53","0.871","1.098","1.224","1.249","1.183","1.006","0.652","0.309","0.014","0","0","0","0","0","0"
"2018-10-26","1","발전량","0","0","0","0","0","0","0","0.005","0.042","0.042","0.1","0.095","0.091","0.051","0.112","0.043","0.001","0","0","0","0","0","0","0"
"2018-10-27","1","발전량","0","0","0","0","0","0","0","0.13","0.42","0.32","0.584","0.57","0.609","0.563","0.396","0.206","0.141","0.013","0","0","0","0","0","0"
"2018-10-28","1","발전량","0","0","0","0","0","0","0","0.08","0.474","0.831","0.505","0.289","0.945","0.462","0.18","0.005","0","0","0","0","0","0","0","0"
"2018-10-29","1","발전량","0","0","0","0","0","0","0","0.095","0.402","0.716","0.692","0.624","0.493","0.689","0.876","0.792","0.249","0.016","0","0","0","0","0","0"
"2018-10-30","1","발전량","0","0","0","0","0","0","0","0.128","0.551","0.918","1.154","1.285","1.305","1.237","1.05","0.754","0.334","0.02","0","0","0","0","0","0"
"2018-10-31","1","발전량","0","0","0","0","0","0","0","0.111","0.529","0.894","1.139","1.267","1.286","1.22","1.046","0.743","0.316","0.019","0","0","0","0","0","0"
"2018-11-01","1","발전량","0","0","0","0","0","0","0","0.106","0.523","0.88","1.099","1.213","1.219","1.138","0.962","0.714","0.322","0.016","0","0","0","0","0","0"
"2018-11-02","1","발전량","0","0","0","0","0","0","0","0.111","0.511","0.853","1.077","1.195","1.215","1.152","0.983","0.688","0.27","0.012","0","0","0","0","0","0"
"2018-11-03","1","발전량","0","0","0","0","0","0","0","0.096","0.502","0.849","1.08","1.198","1.216","1.141","0.965","0.677","0.255","0.01","0","0","0","0","0","0"
"2018-11-04","1","발전량","0","0","0","0","0","0","0","0.078","0.494","0.842","1.064","1.174","1.196","1.134","0.964","0.662","0.281","0.01","0","0","0","0","0","0"
"2018-11-05","1","발전량","0","0","0","0","0","0","0","0.072","0.417","0.735","0.935","0.887","0.892","0.804","0.656","0.482","0.135","0.009","0","0","0","0","0","0"
"2018-11-06","1","발전량","0","0","0","0","0","0","0","0.015","0.203","0.341","0.755","1.04","0.717","0.941","0.926","0.508","0.188","0.002","0","0","0","0","0","0"
"2018-11-07","1","발전량","0","0","0","0","0","0","0","0","0.013","0.054","0.103","0.066","0.099","0.179","0.112","0.072","0.049","0.002","0","0","0","0","0","0"
"2018-11-08","1","발전량","0","0","0","0","0","0","0","0","0.003","0.005","0.011","0.017","0.01","0.011","0.011","0","0","0","0","0","0","0","0","0"
"2018-11-09","1","발전량","0","0","0","0","0","0","0","0","0.024","0.011","0.222","0.259","0.422","0.42","0.818","0.595","0.257","0.011","0","0","0","0","0","0"
"2018-11-10","1","발전량","0","0","0","0","0","0","0","0.029","0.24","0.589","0.84","0.586","0.817","0.478","0.438","0.207","0.064","0.001","0","0","0","0","0","0"
"2018-11-11","1","발전량","0","0","0","0","0","0","0","0.072","0.342","0.667","0.751","1.042","0.674","0.347","0.11","0.039","0.029","0.007","0","0","0","0","0","0"
"2018-11-12","1","발전량","0","0","0","0","0","0","0","0.035","0.365","0.73","0.954","1.065","1.025","1.043","0.868","0.574","0.207","0.005","0","0","0","0","0","0"
"2018-11-13","1","발전량","0","0","0","0","0","0","0","0.006","0.385","0.673","0.655","1.159","0.23","0.358","0.234","0.172","0.066","0.001","0","0","0","0","0","0"
"2018-11-14","1","발전량","0","0","0","0","0","0","0","0.037","0.39","0.758","1.052","1.26","1.251","1.218","0.94","0.417","0.192","0.004","0","0","0","0","0","0"
"2018-11-15","1","발전량","0","0","0","0","0","0","0","0.042","0.396","0.754","0.978","1.062","0.949","0.851","0.8","0.411","0.148","0.006","0","0","0","0","0","0"
